prime,target,p.POSr,t.POSr,first,second,match,index,JCNvalue,JCNmaki
usa,america,n,n,"'usa#n#1',","'america#n#1',",TRUE,usa.america,0,0
clorox,bleach,n,n,"'clorox#n#1',","'bleach#n#1',",TRUE,clorox.bleach,0,2.197223
recliner,chair,n,n,"'recliner#n#1',","'chair#n#1',",TRUE,recliner.chair,0,5.402689
juggler,circus,n,n,"'juggler#n#1',","'circus#n#1',",TRUE,juggler.circus,0,25.147743
saltine,cracker,n,n,"'saltine#n#1',","'cracker#n#1',",TRUE,saltine.cracker,0,2.564951
crayola,crayon,n,n,"'crayola#n#1',","'crayon#n#1',",TRUE,crayola.crayon,NA,NA
antlers,deer,n,n,"'antlers#n#1',","'deer#n#1',",TRUE,antlers.deer,NA,NA
sinker,fishing,n,n,"'sinker#n#1',","'fishing#n#1',",TRUE,sinker.fishing,0,20.239228
demi,god,n,n,"'demi#n#1',","'god#n#1',",TRUE,demi.god,NA,NA
attitude,conceited,n,other,"'attitude#n#1',","'conceited#other#1',",FALSE,attitude.conceited,NA,NA
mcdonalds,hamburger,n,n,"'mcdonalds#n#1',","'hamburger#n#1',",TRUE,mcdonalds.hamburger,NA,NA
frill,lace,n,n,"'frill#n#1',","'lace#n#1',",TRUE,frill.lace,0,20.182857
frankenstein,monster,n,n,"'frankenstein#n#1',","'monster#n#1',",TRUE,frankenstein.monster,0,10.566022
axon,neuron,n,n,"'axon#n#1',","'neuron#n#1',",TRUE,axon.neuron,0,26.98764
zit,pimple,n,n,"'zit#n#1',","'pimple#n#1',",TRUE,zit.pimple,0,NA
tupperware,plastic,n,n,"'tupperware#n#1',","'plastic#n#1',",TRUE,tupperware.plastic,NA,NA
shears,scissors,n,n,"'shears#n#1',","'scissors#n#1',",TRUE,shears.scissors,0,0.530628
typist,secretary,n,n,"'typist#n#1',","'secretary#n#1',",TRUE,typist.secretary,0,14.420858
escargot,snail,n,n,"'escargot#n#1',","'snail#n#1',",TRUE,escargot.snail,0,0
popeye,spinach,n,n,"'popeye#n#1',","'spinach#n#1',",TRUE,popeye.spinach,NA,NA
pancakes,syrup,n,n,"'pancakes#n#1',","'syrup#n#1',",TRUE,pancakes.syrup,NA,NA
hairspray,sticky,n,other,"'hairspray#n#1',","'sticky#other#1',",FALSE,hairspray.sticky,NA,NA
cornbeef,beef,n,n,"'cornbeef#n#1',","'beef#n#1',",TRUE,cornbeef.beef,NA,NA
britannica,britain,n,n,"'britannica#n#1',","'britain#n#1',",TRUE,britannica.britain,NA,NA
anisette,dictionary,n,n,"'anisette#n#1',","'dictionary#n#1',",TRUE,anisette.dictionary,0,24.223046
breezeway,walkway,n,n,"'breezeway#n#1',","'walkway#n#1',",TRUE,breezeway.walkway,NA,NA
excedrin,medicine,n,n,"'excedrin#n#1',","'medicine#n#1',",TRUE,excedrin.medicine,NA,NA
mints,green,n,other,"'mints#n#1',","'green#other#1',",FALSE,mints.green,NA,NA
harley,motorcycle,n,n,"'harley#n#1',","'motorcycle#n#1',",TRUE,harley.motorcycle,NA,NA
walkway,path,n,n,"'walkway#n#1',","'path#n#1',",TRUE,walkway.path,16.95,0.678495
overview,preview,n,n,"'overview#n#1',","'preview#n#1',",TRUE,overview.preview,0,19.087612
seatbelt,protection,n,n,"'seatbelt#n#1',","'protection#n#1',",TRUE,seatbelt.protection,0,NA
bookbag,purse,n,n,"'bookbag#n#1',","'purse#n#1',",TRUE,bookbag.purse,NA,NA
chromosomes,sex,n,n,"'chromosomes#n#1',","'sex#n#1',",TRUE,chromosomes.sex,NA,NA
checkers,round,n,other,"'checkers#n#1',","'round#other#1',",FALSE,checkers.round,NA,9.53407
bagel,shop,n,n,"'bagel#n#1',","'shop#n#1',",TRUE,bagel.shop,0,21.680687
paperclip,staple,n,n,"'paperclip#n#1',","'staple#n#1',",TRUE,paperclip.staple,0,11.678559
buckle,seatbelt,n,n,"'buckle#n#1',","'seatbelt#n#1',",TRUE,buckle.seatbelt,0,NA
capability,ability,n,n,"'capability#n#1',","'ability#n#1',",TRUE,capability.ability,0.69,1.417451
reaction,action,n,n,"'reaction#n#1',","'action#n#1',",TRUE,reaction.action,11.24,2.347473
actress,actor,n,n,"'actress#n#1',","'actor#n#1',",TRUE,actress.actor,1.91,0.847032
actor,actress,n,n,"'actor#n#1',","'actress#n#1',",TRUE,actor.actress,1.91,0.847032
subtraction,addition,n,n,"'subtraction#n#1',","'addition#n#1',",TRUE,subtraction.addition,0,5.044798
adverb,adjective,n,n,"'adverb#n#1',","'adjective#n#1',",TRUE,adverb.adjective,19.78,3.42222
puberty,adolescent,n,n,"'puberty#n#1',","'adolescent#n#1',",TRUE,puberty.adolescent,0,24.358162
explorer,adventure,n,n,"'explorer#n#1',","'adventure#n#1',",TRUE,explorer.adventure,19.87,19.323298
continent,africa,n,n,"'continent#n#1',","'africa#n#1',",TRUE,continent.africa,1.7,2.515527
years,age,n,n,"'years#n#1',","'age#n#1',",TRUE,years.age,14.59,0
contract,agreement,n,n,"'contract#n#1',","'agreement#n#1',",TRUE,contract.agreement,0.64,1.083413
fan,air,n,n,"'fan#n#1',","'air#n#1',",TRUE,fan.air,16.84,12.944984
crocodile,alligator,n,n,"'crocodile#n#1',","'alligator#n#1',",TRUE,crocodile.alligator,0,1.992429
foil,aluminum,n,n,"'foil#n#1',","'aluminum#n#1',",TRUE,foil.aluminum,18.61,20.058169
emergency,ambulance,n,n,"'emergency#n#1',","'ambulance#n#1',",TRUE,emergency.ambulance,19.84,16.367684
quantity,amount,n,n,"'quantity#n#1',","'amount#n#1',",TRUE,quantity.amount,8.03,0
saint,angel,n,n,"'saint#n#1',","'angel#n#1',",TRUE,saint.angel,7.09,0
awareness,alert,n,other,"'awareness#n#1',","'alert#other#1',",FALSE,awareness.alert,NA,15.041213
fury,anger,n,n,"'fury#n#1',","'anger#n#1',",TRUE,fury.anger,0.95,2.092379
beast,animal,n,n,"'beast#n#1',","'animal#n#1',",TRUE,beast.animal,0,0
sprain,ankle,n,n,"'sprain#n#1',","'ankle#n#1',",TRUE,sprain.ankle,0,26.487961
flag,american,n,other,"'flag#n#1',","'american#other#1',",FALSE,flag.american,NA,13.598412
explanation,answer,n,n,"'explanation#n#1',","'answer#n#1',",TRUE,explanation.answer,4.74,4.696997
anteater,ant,n,n,"'anteater#n#1',","'ant#n#1',",TRUE,anteater.ant,12.26,14.548629
stress,anxiety,n,n,"'stress#n#1',","'anxiety#n#1',",TRUE,stress.anxiety,14.63,6.043647
rent,apartment,n,n,"'rent#n#1',","'apartment#n#1',",TRUE,rent.apartment,18.1,17.595721
monkey,ape,n,n,"'monkey#n#1',","'ape#n#1',",TRUE,monkey.ape,6.27,8.009098
pie,apple,n,n,"'pie#n#1',","'apple#n#1',",TRUE,pie.apple,8.99,9.020793
march,april,n,n,"'march#n#1',","'april#n#1',",TRUE,march.april,5.19,NA
region,area,n,n,"'region#n#1',","'area#n#1',",TRUE,region.area,4.54,0
disagreement,argument,n,n,"'disagreement#n#1',","'argument#n#1',",TRUE,disagreement.argument,17.05,2.099433
shoulder,arm,n,n,"'shoulder#n#1',","'arm#n#1',",TRUE,shoulder.arm,7.19,10.284997
knight,armor,n,n,"'knight#n#1',","'armor#n#1',",TRUE,knight.armor,17.8,14.890481
octopus,arms,n,n,"'octopus#n#1',","'arms#n#1',",TRUE,octopus.arms,0,19.788266
corporal,army,n,n,"'corporal#n#1',","'army#n#1',",TRUE,corporal.army,17.13,22.407457
bow,arrow,n,n,"'bow#n#1',","'arrow#n#1',",TRUE,bow.arrow,19.31,8.528712
sculpture,art,n,n,"'sculpture#n#1',","'art#n#1',",TRUE,sculpture.art,2.28,2.358318
con,artist,n,n,"'con#n#1',","'artist#n#1',",TRUE,con.artist,18.63,12.983978
ash,ashtray,n,n,"'ash#n#1',","'ashtray#n#1',",TRUE,ash.ashtray,0,23.378688
europe,asia,n,n,"'europe#n#1',","'asia#n#1',",TRUE,europe.asia,3.07,1.887295
donkey,ass,n,n,"'donkey#n#1',","'ass#n#1',",TRUE,donkey.ass,0,3.551262
helper,assistant,n,n,"'helper#n#1',","'assistant#n#1',",TRUE,helper.assistant,0,0
neutron,atom,n,n,"'neutron#n#1',","'atom#n#1',",TRUE,neutron.atom,0,22.244962
assault,attack,n,n,"'assault#n#1',","'attack#n#1',",TRUE,assault.attack,11.88,0
basement,attic,n,n,"'basement#n#1',","'attic#n#1',",TRUE,basement.attic,3.73,5.974537
kangaroo,australia,n,n,"'kangaroo#n#1',","'australia#n#1',",TRUE,kangaroo.australia,0,NA
car,auto,n,n,"'car#n#1',","'auto#n#1',",TRUE,car.auto,0,0
merit,award,n,n,"'merit#n#1',","'award#n#1',",TRUE,merit.award,16.6,13.098949
hatchet,ax,n,n,"'hatchet#n#1',","'ax#n#1',",TRUE,hatchet.ax,0,1.368275
child,baby,n,n,"'child#n#1',","'baby#n#1',",TRUE,child.baby,11.15,0
knapsack,backpack,n,n,"'knapsack#n#1',","'backpack#n#1',",TRUE,knapsack.backpack,0,0
eggs,bacon,n,n,"'eggs#n#1',","'bacon#n#1',",TRUE,eggs.bacon,13.3,17.451702
sack,bag,n,n,"'sack#n#1',","'bag#n#1',",TRUE,sack.bag,3.24,2.898878
norm,average,n,other,"'norm#n#1',","'average#other#1',",FALSE,norm.average,NA,0
bowling,ball,n,n,"'bowling#n#1',","'ball#n#1',",TRUE,bowling.ball,0,7.072386
tutu,ballet,n,n,"'tutu#n#1',","'ballet#n#1',",TRUE,tutu.ballet,0,20.077096
